timestamp,POE,AOE,HR,FE,PS
1669303878669691209,-0.363382,1.57071,-2.3138e-05,1.57075,3.84067e-05
1669303878669980482,-0.363428,1.57069,-2.3138e-05,1.57075,3.84067e-05
1669303878689372752,-0.363904,1.57066,-2.3138e-05,1.57075,3.84067e-05
1669303878711464415,-0.364395,1.57061,-2.3138e-05,1.57075,3.84067e-05
1669303878753923267,-0.36487,1.5706,-2.3138e-05,1.57027,3.84067e-05
1669303878797905826,-0.365193,1.5706,-2.3138e-05,1.56961,3.84067e-05
1669303878797964275,-0.365423,1.5706,-2.3138e-05,1.56871,3.84067e-05
1669303878841884728,-0.365576,1.5706,-2.3138e-05,1.56767,3.84067e-05
1669303878841943919,-0.365668,1.5706,-2.3138e-05,1.56655,3.84067e-05
1669303878885817554,-0.365699,1.5706,-2.3138e-05,1.56403,3.84067e-05
1669303878929492336,-0.365699,1.5706,-2.3138e-05,1.56087,3.84067e-05
1669303878929845719,-0.365699,1.5706,-2.3138e-05,1.55929,3.84067e-05
1669303878949285288,-0.365699,1.5706,-2.3138e-05,1.5576,3.84067e-05
1669303878969494861,-0.365699,1.5706,-2.3138e-05,1.55582,3.84067e-05
1669303879013833639,-0.365699,1.57061,-2.3138e-05,1.55381,3.84067e-05
1669303879013897078,-0.365699,1.57061,-2.3138e-05,1.5517,3.84067e-05
1669303879057884637,-0.365699,1.57061,-2.3138e-05,1.54693,3.84067e-05
1669303879101906230,-0.365699,1.57061,-2.3138e-05,1.54194,3.84067e-05
1669303879145775788,-0.365699,1.57061,-2.3138e-05,1.53919,3.84067e-05
1669303879146055582,-0.365561,1.57061,-2.3138e-05,1.5364,3.84067e-05
1669303879189641799,-0.365285,1.57061,-2.3138e-05,1.53071,3.84067e-05
1669303879189980835,-0.365116,1.57061,-2.3138e-05,1.52746,3.84067e-05
1669303879210392547,-0.365009,1.57061,-2.3138e-05,1.52405,3.84067e-05
1669303879230412354,-0.364932,1.57063,-2.3138e-05,1.5208,3.84067e-05
1669303879273944179,-0.36484,1.57066,-2.3138e-05,1.51367,3.84067e-05
1669303879317992011,-0.364763,1.57066,-2.3138e-05,1.50591,3.84067e-05
1669303879361710335,-0.364702,1.57066,-2.3138e-05,1.50189,3.84067e-05
1669303879361834077,-0.364671,1.57066,-6.91581e-05,1.49752,3.84067e-05
1669303879405857744,-0.364395,1.57068,-0.000115178,1.48925,3.84067e-05
1669303879450011866,-0.36418,1.57069,-0.000130518,1.48006,3.84067e-05
1669303879489409215,-0.363904,1.57069,-0.000130518,1.4705,3.84067e-05
1669303879489686335,-0.363843,1.57069,-0.000130518,1.46533,3.84067e-05
1669303879509268261,-0.363812,1.57069,-0.000130518,1.46032,3.84067e-05
1669303879529402233,-0.363751,1.57069,-0.000145858,1.45525,3.84067e-05
1669303879573864953,-0.363659,1.57069,-0.000145858,1.44447,3.84067e-05
1669303879617888880,-0.363505,1.57071,-0.000145858,1.43304,3.84067e-05
1669303879661874085,-0.363367,1.57071,-0.000161198,1.42734,3.84067e-05
1669303879661930651,-0.363352,1.57071,-0.000161198,1.42129,3.84067e-05
1669303879705753352,-0.363122,1.57072,-0.000161198,1.40917,3.84067e-05
1669303879749787157,-0.362922,1.57072,-0.000161198,1.39626,3.84067e-05
1669303879750016968,-0.362846,1.57072,-0.000161198,1.38984,3.84067e-05
1669303879770050131,-0.3628,1.57072,-0.000161198,1.38313,3.84067e-05
1669303879789014328,-0.362708,1.57072,-0.000161198,1.37638,3.84067e-05
1669303879829931298,-0.3626,1.57072,-0.000161198,1.36213,3.84067e-05
1669303879873924167,-0.362493,1.57072,-0.000161198,1.34812,3.84067e-05
1669303879917752979,-0.362247,1.57072,-0.000161198,1.33382,3.84067e-05
1669303879962187927,-0.361894,1.57072,-0.000161198,1.31943,3.84067e-05
1669303880005903716,-0.361496,1.57074,-0.000161198,1.30538,3.84067e-05
1669303880049201623,-0.361296,1.57074,-0.000161198,1.29115,3.84067e-05
1669303880049691431,-0.361235,1.57074,-0.000161198,1.28403,3.84067e-05
1669303880069591945,-0.361204,1.57074,-0.000161198,1.27691,3.84067e-05
1669303880089495004,-0.361097,1.57074,-0.000161198,1.26975,3.84067e-05
1669303880133988653,-0.360943,1.57074,-0.000161198,1.2554,3.84067e-05
1669303880177975471,-0.36079,1.57075,-0.000161198,1.24132,3.84067e-05
1669303880221975624,-0.360591,1.57075,-0.000161198,1.2268,3.84067e-05
1669303880265858908,-0.360376,1.57075,-0.000161198,1.21244,3.84067e-05
1669303880310059838,-0.3601,1.57075,-0.000161198,1.19842,3.84067e-05
1669303880310115362,-0.359992,1.57075,-0.000161198,1.19073,3.84067e-05
1669303880328982999,-0.359885,1.57075,-0.000161198,1.18413,3.84067e-05
1669303880348386630,-0.359808,1.57077,-0.000161198,1.17668,3.84067e-05
1669303880389764425,-0.359716,1.57077,-0.000161198,1.16283,3.84067e-05
1669303880433961979,-0.359578,1.57078,-0.000161198,1.14858,3.84067e-05
1669303880477860021,-0.359455,1.57078,-0.000161198,1.1344,3.84067e-05
1669303880522103711,-0.359164,1.57078,-0.000161198,1.11992,3.84067e-05
1669303880565601371,-0.359011,1.57078,-0.000161198,1.11282,3.84067e-05
1669303880565659500,-0.358888,1.57078,-0.000161198,1.10558,3.84067e-05
1669303880608841289,-0.358688,1.57078,-0.000161198,1.09137,3.84067e-05
1669303880609148845,-0.358581,1.57078,-0.000161198,1.08427,3.84067e-05
1669303880628402296,-0.358412,1.57078,-0.000161198,1.07751,3.84067e-05
1669303880649187309,-0.358259,1.57078,-0.000161198,1.07025,3.84067e-05
1669303880689881722,-0.358228,1.57078,-0.000161198,1.05597,3.84067e-05
1669303880733952858,-0.358228,1.57078,-0.000161198,1.04172,3.84067e-05
1669303880777904991,-0.358167,1.57078,-0.000161198,1.02748,3.84067e-05
1669303880821776774,-0.358044,1.57078,-0.000161198,1.0204,3.84067e-05
1669303880821985115,-0.357906,1.57078,-0.000161198,1.01331,3.84067e-05
1669303880865900318,-0.357615,1.57078,-0.000161198,0.998874,3.84067e-05
1669303880909690297,-0.357354,1.57078,-0.000161198,0.984653,3.84067e-05
1669303880909880133,-0.357216,1.57078,-0.000161198,0.977551,3.84067e-05
1669303880928925012,-0.357108,1.57078,-0.000161198,0.970663,3.84067e-05
1669303880949712400,-0.35697,1.57078,-0.000161198,0.963147,3.84067e-05
1669303880993700711,-0.356863,1.57078,-0.000161198,0.956489,3.84067e-05
1669303880993759872,-0.356802,1.57078,-0.000161198,0.949295,3.84067e-05
1669303881037900078,-0.356694,1.57078,-0.000161198,0.93509,3.84067e-05
1669303881081963029,-0.356618,1.57078,-0.000161198,0.920716,3.84067e-05
1669303881125704348,-0.356602,1.57078,-0.000161198,0.913706,3.84067e-05
1669303881125766885,-0.356541,1.57078,-0.000161198,0.906419,3.84067e-05
1669303881169553668,-0.356341,1.57078,-0.000161198,0.892445,3.84067e-05
1669303881169873779,-0.356234,1.57078,-0.000115178,0.88545,3.84067e-05
1669303881189332634,-0.356096,1.57078,-5.3818e-05,0.878163,3.84067e-05
1669303881209982614,-0.355943,1.57078,-3.8478e-05,0.870969,3.84067e-05
1669303881253834540,-0.355758,1.57078,-7.79801e-06,0.863989,3.84067e-05
1669303881253896757,-0.35562,1.57078,7.542e-06,0.856871,3.84067e-05
1669303881297760955,-0.355498,1.57078,7.542e-06,0.849585,3.84067e-05
1669303881297823482,-0.355375,1.57078,7.542e-06,0.842467,3.84067e-05
1669303881341901702,-0.355191,1.57078,2.2882e-05,0.828385,3.84067e-05
1669303881385814532,-0.355084,1.57078,2.2882e-05,0.813996,3.84067e-05
1669303881429454671,-0.354945,1.57078,2.2882e-05,0.800082,3.84067e-05
1669303881429856695,-0.354899,1.57078,2.2882e-05,0.792949,3.84067e-05
1669303881449911588,-0.354869,1.57078,2.2882e-05,0.785786,3.84067e-05
1669303881469616916,-0.354838,1.57078,2.2882e-05,0.77856,3.84067e-05
1669303881514204802,-0.354639,1.57078,2.2882e-05,0.764325,3.84067e-05
1669303881557904052,-0.35447,1.57078,2.2882e-05,0.757084,3.84067e-05
1669303881557970697,-0.354363,1.57078,2.2882e-05,0.749736,3.84067e-05
1669303881601659577,-0.354209,1.57078,2.2882e-05,0.742987,3.84067e-05
1669303881601742372,-0.354148,1.57078,2.2882e-05,0.736069,3.84067e-05
1669303881645955275,-0.353994,1.57078,2.2882e-05,0.721726,3.84067e-05
1669303881688831210,-0.353764,1.57078,2.2882e-05,0.707628,3.84067e-05
1669303881689149196,-0.353703,1.57078,2.2882e-05,0.700434,3.84067e-05
1669303881709287667,-0.353596,1.57078,2.2882e-05,0.693163,3.84067e-05
1669303881729522137,-0.353503,1.57078,2.2882e-05,0.685953,3.84067e-05
1669303881773894759,-0.353319,1.57078,2.2882e-05,0.67207,3.84067e-05
1669303881817919689,-0.353151,1.57078,2.2882e-05,0.657712,3.84067e-05
1669303881861870741,-0.352951,1.57078,2.2882e-05,0.643461,3.84067e-05
1669303881905825870,-0.352767,1.57078,2.2882e-05,0.629041,3.84067e-05
1669303881948870853,-0.352552,1.57078,2.2882e-05,0.615205,3.84067e-05
1669303881949279258,-0.352476,1.57078,2.2882e-05,0.608164,3.84067e-05
1669303881970533131,-0.352414,1.57078,2.2882e-05,0.601122,3.84067e-05
1669303881989029622,-0.352384,1.57078,2.2882e-05,0.593683,3.84067e-05
1669303882029745576,-0.352338,1.57078,2.2882e-05,0.586657,3.84067e-05
1669303882029831777,-0.352307,1.57078,2.2882e-05,0.579815,3.84067e-05
1669303882073681249,-0.35223,1.57078,2.2882e-05,0.565227,3.84067e-05
1669303882117837897,-0.352046,1.57078,2.2882e-05,0.551283,3.84067e-05
1669303882161745417,-0.351816,1.57078,2.2882e-05,0.537109,3.84067e-05
1669303882205860747,-0.35154,1.57078,2.2882e-05,0.523026,3.84067e-05
1669303882249728453,-0.351325,1.57078,2.2882e-05,0.509803,3.84067e-05
1669303882250068551,-0.351202,1.57078,2.2882e-05,0.50333,3.84067e-05
1669303882270892577,-0.35108,1.57078,2.2882e-05,0.496887,3.84067e-05
1669303882290004622,-0.350988,1.57078,2.2882e-05,0.490644,3.84067e-05
1669303882333915519,-0.35085,1.57078,2.2882e-05,0.478556,3.84067e-05
1669303882377957853,-0.350742,1.5708,2.2882e-05,0.467266,3.84067e-05
1669303882421812814,-0.350712,1.5708,2.2882e-05,0.455837,3.84067e-05
1669303882466135454,-0.350666,1.5708,2.2882e-05,0.445314,3.84067e-05
1669303882510317188,-0.350543,1.5708,2.2882e-05,0.434944,3.84067e-05
1669303882510381068,-0.350497,1.5708,2.2882e-05,0.429959,3.84067e-05
1669303882535105730,-0.350435,1.5708,2.2882e-05,0.425234,3.84067e-05
1669303882549376365,-0.350359,1.5708,2.2882e-05,0.420571,3.84067e-05
1669303882593740853,-0.350282,1.5708,2.2882e-05,0.416245,3.84067e-05
1669303882593795064,-0.350175,1.5708,2.2882e-05,0.411965,3.84067e-05
1669303882637796671,-0.350037,1.5708,2.2882e-05,0.403206,3.84067e-05
1669303882681909948,-0.34996,1.5708,2.2882e-05,0.395198,3.84067e-05
